,number of execute,number of thread (using threadpool),time(s),Throughput,
loop,1,-,0.096100501,10.40577301,
loop,10,-,0.460245149,21.72755111,
loop,100,-,2.881652936,34.70230532,
loop,200,-,5.256395362,38.0488883,
loop,300,-,9.834100447,30.50609475,
loop,400,-,10.73024481,37.27780747,
thread,1,10,1.74E-04,57517.54285,
thread,10,10,0.001177965,84892.16573,
thread,100,10,1.91E-05,5.24E+07,
thread,200,10,2.67E-05,7.48E+07,
thread,300,10,4.07E-05,7.37E+07,
thread,400,10,8.98E-05,4.45E+07,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,